Symbol,Name,Exchange,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
Q,"Quintiles IMS Holdings, Inc.",NYSE,72.59,$8.6B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/q
QHC,Quorum Health Corporation,NYSE,3.91,$115.3M,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/qhc
QUOT,Quotient Technology Inc.,NYSE,10.5,$881.36M,2014,Consumer Services,Advertising,http://www.nasdaq.com/symbol/quot
CTAA,Qwest Corporation,NYSE,26.37,n/a,2016,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctaa
CTBB,Qwest Corporation,NYSE,25.25,n/a,2016,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctbb
CTU,Qwest Corporation,NYSE,25.29,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctu
CTV,Qwest Corporation,NYSE,25.76,n/a,2014,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctv
CTW,Qwest Corporation,NYSE,25.32,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctw
CTX,Qwest Corporation,NYSE,25.3,$3.17B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctx
CTY,Qwest Corporation,NYSE,25.26,n/a,2013,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,NYSE,25.53,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctz
